,nct_id,canonical_BioLinkBERT-base_interventions,canonical_aact_interventions,aact_intervention_types,canonical_BioLinkBERT-base_conditions,canonical_aact_conditions,Disease Class
0,NCT00000117,intravenous immunoglobulin|ivig,immunoglobulin,Drug,multiple sclerosis|optic neuritis,optic neuritis,Cranial Nerve Diseases
1,NCT00000146,corticosteroid,prednisone|methylprednisolone,Drug,multiple sclerosis|optic neuritis,optic neuritis|multiple sclerosis,Cranial Nerve Diseases|Demyelinating Diseases
2,NCT00000147,corticosteroid,prednisone|methylprednisolone,Drug,multiple sclerosis|optic neuritis,optic neuritis|multiple sclerosis,Cranial Nerve Diseases|Demyelinating Diseases
3,NCT00000151,acetylsalicylic acid|aspirin,aspirin|acetylsalicylic acid,Procedure|Drug,blindness|diabetes mellitus|diabetic retinopathy|early diabetic retinopathy|visual loss and,blindness,Neurologic Manifestations
4,NCT00000170,atropine,atropine,Device|Drug,amblyopia|anisometropia|moderate amblyopia|strabismus,amblyopia,Neurologic Manifestations
5,NCT00000171,melatonin,melatonin,Drug,alzheimer disease|sleep disturbances,dyssomnias|alzheimer disease,Sleep Wake Disorders|Neurodegenerative Diseases
6,NCT00000172,galantamine,galantamine,Drug,alzheimer disease,alzheimer disease,Neurodegenerative Diseases
7,NCT00000173,donepezil|donepezil hcl|vitamin e,vitamin e|donepezil,Drug,alzheimer disease|dementia|mild cognitive impairment|severe dementia,alzheimer disease,Neurodegenerative Diseases
8,NCT00000174,rivastigmine|rivastigmine patch,rivastigmine,Drug,alzheimer disease|dementia|mild cognitive impairment,alzheimer disease|cognition disorders,Psychiatry and Psychology Category|Neurodegenerative Diseases
9,NCT00000175,estrogen|testosterone,estrogen|testosterone,Drug,,mood disorders|cognition disorders,Psychiatry and Psychology Category
10,NCT00000176,estrogens,estrogen|estrogen and progesterone,Drug,alzheimer disease|loss of memory|memory disorders,memory disorders|alzheimer disease,Neurologic Manifestations|Neurodegenerative Diseases
11,NCT00000177,estrogen,estrogen,Drug,alzheimer disease,alzheimer disease,Neurodegenerative Diseases
12,NCT00000178,prednisone,prednisone,Drug,alzheimer disease,alzheimer disease,Neurodegenerative Diseases
13,NCT00000179,haloperidol|trazodone,trazodone|haloperidol,Drug,ad|agitation,alzheimer disease,Neurodegenerative Diseases
14,NCT00000180,ait-082,ait-082,Drug,decline,memory disorders,Neurologic Manifestations
15,NCT00000187,ritanserin,ritanserin,Drug,cocaine dependence|cocaine-related disorders,cocaine-related disorders,Diseases Category
16,NCT00000188,selegiline,selegiline,Drug,cocaine dependence|cocaine-related disorders,cocaine-related disorders,Diseases Category
17,NCT00000189,gepirone,gepirone,Drug,cocaine dependence|cocaine dependent|cocaine-related disorders,cocaine-related disorders,Diseases Category
18,NCT00000190,cocaine,,Procedure,,cocaine-related disorders,Diseases Category
19,NCT00000191,carbamazepine,carbamazepine,Drug,cocaine dependence|cocaine-related disorders,cocaine-related disorders,Diseases Category
20,NCT00000197,propranolol,propranolol,Drug,cocaine dependence|cocaine-related disorders,cocaine-related disorders,Diseases Category
21,NCT00000198,cocaine|piracetam,piracetam,Drug,cocaine dependent|cocaine-related disorders,cocaine-related disorders,Diseases Category
22,NCT00000199,piracetam,piracetam,Drug,cocaine-related disorders,cocaine-related disorders,Diseases Category
23,NCT00000200,buprenorphine|cocaine|methadone,methadone,Drug,opiate-dependent cocaine users,cocaine-related disorders,Diseases Category
24,NCT00000201,cocaine,selegiline,Drug,,cocaine-related disorders,Diseases Category
25,NCT00000210,buprenorphine,buprenorphine,Drug,aids|concurrent intravenous heroin and cocaine dependence|substance-related disorders,cocaine-related disorders,Diseases Category
26,NCT00000211,buprenorphine,buprenorphine,Drug,aids|concurrent intravenous heroin and cocaine dependence|substance-related disorders,cocaine-related disorders,Diseases Category
27,NCT00000212,cocaine|desipramine dmi,desipramine,Drug,cocaine|iv cocaine abuse,cocaine-related disorders,Diseases Category
28,NCT00000213,cocaine|fluoxetine,fluoxetine,Drug,cocaine|iv cocaine abuse,cocaine-related disorders,Diseases Category
29,NCT00000214,buprenorpine|cocaine,buprenorphine,Drug,cocaine|cocaine users|iv cocaine abuse|opiate dependent,cocaine-related disorders,Diseases Category
30,NCT00000215,cocaine|pergolide,pergolide,Drug,cocaine|cocaine users|iv cocaine abuse|opiate dependent,cocaine-related disorders,Diseases Category
31,NCT00000216,buprenorphine|methadone,buprenorphine,Drug,cocaine ab|cocaine abusing|opiate addicts|opioid addicts,substance-related disorders|cocaine-related disorders,Diseases Category
32,NCT00000217,carbamazepine|desipramine,carbamazepine,Drug,cocaine|substance-related disorders,substance-related disorders|cocaine-related disorders,Diseases Category
33,NCT00000218,carbamazepine|desipramine,carbamazepine,Drug,cocaine,substance-related disorders|cocaine-related disorders,Diseases Category
34,NCT00000240,buprenorphine,buprenorphine,Drug,cocaine|opioid and,cocaine-related disorders,Diseases Category
